xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4020,9530,2607.5,0.76325,-99,45,0.0605,0.024005,
4040,9530,2607.5,1.28734,-99,45,0.091449,0.040509,
4020,9550,2607.5,1.06917,-99,45,0.076209,0.014515,
4040,9550,2607.5,1.19259,-99,45,0.093982,0.02662,
4020,9530,2622.5,0.8808,-99,45,0.052351,0.038917,
4040,9530,2622.5,1.89643,-99,45,0.114298,0.053453,
4020,9550,2622.5,0.880979,-99,45,0.050982,0.02696,
4040,9550,2622.5,1.29812,-99,45,0.092507,0.113133,
4060,9530,2607.5,0.934757,2,33,0.10858,0.037996,
4080,9530,2607.5,0.724035,2,33,0.249402,0.005299,
4060,9550,2607.5,1.11032,-99,45,0.091822,0.011315,
4080,9550,2607.5,0.343123,2,32,0.021204,0.006645,
4060,9530,2622.5,1.1174,-99,45,0.101535,0.020777,
4080,9530,2622.5,0.478798,-99,45,0.040118,0.007903,
4060,9550,2622.5,1.03301,-99,42,0.079885,0.016864,
4080,9550,2622.5,0.482665,-99,45,0.034829,0.005108,
4100,9530,2622.5,0.807458,2,33,0.221474,0.00891,
4120,9530,2622.5,1.2217,2,33,0.262273,0.017933,
4100,9550,2622.5,0.733876,2,45,0.067742,0.013855,
3900,9570,2622.5,0.337268,-99,44,0.027698,0.006002,
3920,9570,2622.5,1.08695,-99,45,0.067707,0.013128,
3900,9590,2622.5,0.55911,-99,45,0.032771,0.006521,
3920,9590,2622.5,0.50176,-99,45,0.034657,0.010807,
3960,9570,2607.5,1.01732,0,10,0.079125,0.024162,
3960,9590,2607.5,0.983769,0,10,0.07249,0.035232,
3940,9570,2622.5,1.16528,-99,45,0.059081,0.02529,
3960,9570,2622.5,1.07751,-99,45,0.071738,0.03191,
3940,9590,2622.5,0.789591,-99,45,0.04985,0.011424,
3960,9590,2622.5,1.04727,-99,45,0.082189,0.018295,
3980,9570,2607.5,0.917258,-99,45,0.08381,0.009982,
4000,9570,2607.5,0.980258,-99,45,0.092361,0.01549,
3980,9590,2607.5,0.70566,-99,45,0.060281,0.011144,
4000,9590,2607.5,0.767766,-99,45,0.074867,0.009594,
3980,9570,2622.5,0.891497,-99,45,0.070674,0.013473,
4000,9570,2622.5,0.793908,-99,45,0.057617,0.011506,
3980,9590,2622.5,0.748604,-99,45,0.055064,0.0251,
4000,9590,2622.5,0.72378,-99,45,0.054224,0.033051,
4020,9570,2607.5,1.42541,-99,45,0.088007,0.086326,
4040,9570,2607.5,0.844318,-99,45,0.065928,0.024842,
4020,9590,2607.5,1.56939,-99,45,0.101232,0.031189,
4040,9590,2607.5,0.482535,-99,45,0.033627,0.006423,
4020,9570,2622.5,1.12183,-99,45,0.072404,0.029402,
4040,9570,2622.5,0.810169,-99,45,0.060317,0.06024,
4020,9590,2622.5,1.44632,-99,45,0.07913,0.023734,
4040,9590,2622.5,0.946252,-99,45,0.053918,0.040233,
4060,9570,2607.5,0.732818,-99,45,0.05727,0.011043,
4080,9570,2607.5,0.442172,-99,33,0.032251,0.001382,
4060,9590,2607.5,0.592217,-99,33,0.048371,0.011211,
4080,9590,2607.5,0.599182,-99,33,0.062244,0.003813,
4060,9570,2622.5,1.13102,-99,42,0.071588,0.014276,
4080,9570,2622.5,0.989887,-99,45,0.073375,0.005391,
4060,9590,2622.5,0.804091,-99,45,0.075642,0.029002,
4080,9590,2622.5,0.865852,-99,33,0.058281,0.009465,
4100,9590,2607.5,1.35876,-99,45,0.084479,0.037369,
4100,9570,2622.5,0.498419,-99,45,0.043867,0.025977,
4100,9590,2622.5,0.480038,-99,45,0.036121,0.032802,
3880,9610,2622.5,0.290282,-99,41,0.019949,0.002675,
3880,9630,2622.5,0.296561,-99,41,0.01712,0.002646,
3900,9610,2622.5,0.545544,-99,45,0.037826,0.009915,
3920,9610,2622.5,0.559122,-99,45,0.043227,0.004911,
3900,9630,2622.5,0.441802,-99,44,0.031127,0.004617,
3920,9630,2622.5,0.627163,-99,45,0.041705,0.004024,
3960,9610,2607.5,0.85816,0,10,0.058423,0.038741,
3960,9630,2607.5,0.728683,0,10,0.052833,0.033635,
3940,9610,2622.5,0.349343,-99,44,0.032065,0.013555,
3960,9610,2622.5,0.867927,-99,45,0.059428,0.031501,
3940,9630,2622.5,0.617903,-99,45,0.03756,0.006069,
3960,9630,2622.5,0.81714,-99,45,0.052884,0.011795,
3980,9610,2607.5,0.66832,-99,45,0.05712,0.011524,
4000,9610,2607.5,0.655617,-99,45,0.062059,0.011555,
3980,9630,2607.5,0.525618,-99,45,0.038729,0.010638,
4000,9630,2607.5,0.503577,-99,45,0.04407,0.020004,
3980,9610,2622.5,0.629875,-99,45,0.045492,0.013904,
4000,9610,2622.5,0.536096,-99,45,0.039449,0.018587,
3980,9630,2622.5,0.644579,-99,42,0.049413,0.027961,
4000,9630,2622.5,0.509901,-99,45,0.038383,0.019617,
4020,9610,2607.5,1.04328,-99,45,0.078724,0.038798,
4040,9610,2607.5,0.708226,-99,45,0.050404,0.008122,
4020,9630,2607.5,1.01718,-99,45,0.082754,0.062155,
4040,9630,2607.5,0.787666,-99,45,0.064894,0.007813,
4020,9610,2622.5,1.00928,-99,45,0.077689,0.063416,
4040,9610,2622.5,0.797178,-99,45,0.054129,0.020861,
4020,9630,2622.5,0.874319,-99,45,0.061348,0.023828,
4040,9630,2622.5,0.699668,-99,45,0.050086,0.006746,
4060,9610,2607.5,0.4988,-99,45,0.032586,0.013483,
4080,9610,2607.5,0.349361,-99,44,0.020884,0.002838,
4060,9630,2607.5,0.570546,-99,45,0.04653,0.033187,
4080,9630,2607.5,0.445474,-99,44,0.030896,0.002466,
4060,9610,2622.5,0.534257,-99,45,0.035413,0.017558,
4080,9610,2622.5,0.934645,-99,33,0.058952,0.015649,
4060,9630,2622.5,0.641463,-99,45,0.043798,0.024026,
4080,9630,2622.5,0.448987,-99,44,0.032005,0.005948,
4100,9610,2607.5,0.860821,-99,45,0.065255,0.042971,
4100,9610,2622.5,0.672834,-99,45,0.051885,0.014879,
4100,9630,2622.5,0.829276,-99,43,0.102228,0.016934,
3900,9650,2622.5,0.356786,-99,44,0.026187,0.007873,
3920,9650,2622.5,0.335078,-99,44,0.02028,0.002705,
3900,9670,2622.5,0.250268,-99,41,0.016867,0.007085,
3920,9670,2622.5,0.299559,-99,41,0.01391,0.004818,
3960,9650,2607.5,0.990533,0,10,0.08553,0.035753,
3960,9670,2607.5,0.672758,0,10,0.068972,0.013973,
3940,9650,2622.5,0.772306,-99,45,0.053503,0.005114,
