xcentre,ycentre,zcentre,cut,zmin,oretype_pnd,meses,cus,mot
4040,9570,2622.500000,0.840000,8,45,may-14,0.090000,270,
4020,9590,2622.500000,0.790000,8,45,may-14,0.070000,273,
4040,9590,2622.500000,0.648750,8,45,may-14,0.068125,275,
4060,9570,2607.500000,0.656667,7,45,jul-14,0.058125,206,
4080,9570,2607.500000,0.502500,61,45,ago-14,0.031250,103,
4060,9590,2607.500000,0.436250,61,44,jul-14,0.024375,79,
4080,9590,2607.500000,0.400000,61,44,ago-14,0.020000,118,
4060,9570,2622.500000,0.794375,8,42,may-14,0.082500,224,
4080,9570,2622.500000,0.619167,7,45,jun-14,0.042500,124,
4060,9590,2622.500000,0.656667,8,45,may-14,0.056042,157,
4080,9590,2622.500000,0.385833,61,44,jun-14,0.015208,121,
4100,9590,2607.500000,0.364792,61,44,ago-14,0.021250,27,
4100,9570,2622.500000,0.506875,7,45,jun-14,0.026458,28,
4100,9590,2622.500000,0.340000,61,44,jun-14,0.021250,26,
3880,9610,2622.500000,0.370000,61,44,jul-14,0.020000,146,
3880,9630,2622.500000,0.380000,61,44,jul-14,0.020000,147,
3900,9610,2622.500000,0.480000,61,45,jul-14,0.020000,89,
3920,9610,2622.500000,0.409583,61,44,jul-14,0.020208,118,
3900,9630,2622.500000,0.400000,61,44,jul-14,0.020000,87,
3920,9630,2622.500000,0.410000,61,44,jul-14,0.020000,105,
3960,9610,2607.500000,1.109583,8,42,jul-14,0.069375,157,
3960,9630,2607.500000,0.910000,8,45,jul-14,0.062500,106,
3940,9610,2622.500000,0.962500,8,45,abr-14,0.057500,92,
3960,9610,2622.500000,1.330000,8,45,abr-14,0.110000,181,
3940,9630,2622.500000,0.867292,8,45,abr-14,0.056667,77,
3960,9630,2622.500000,1.040000,8,45,abr-14,0.080000,141,
3980,9610,2607.500000,1.109375,8,45,jul-14,0.092708,237,
4000,9610,2607.500000,0.774167,8,45,jul-14,0.067500,298,
3980,9630,2607.500000,0.674375,7,45,jul-14,0.031042,214,
4000,9630,2607.500000,0.690000,7,45,jul-14,0.047500,324,
3980,9610,2622.500000,1.100000,8,45,abr-14,0.100000,243,
