xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4020,9610,2607.500000,1.043277,-99,45,0.078724,387,
4040,9610,2607.500000,0.708226,-99,45,0.050404,81,
4020,9630,2607.500000,1.017179,-99,45,0.082754,621,
4040,9630,2607.500000,0.787666,-99,45,0.064894,78,
4020,9610,2622.500000,1.009281,-99,45,0.077689,634,
4040,9610,2622.500000,0.797178,-99,45,0.054129,208,
4020,9630,2622.500000,0.874319,-99,45,0.061348,238,
4040,9630,2622.500000,0.699668,-99,45,0.050086,67,
4060,9610,2607.500000,0.498800,-99,45,0.032586,134,
4080,9610,2607.500000,0.349361,-99,44,0.020884,28,
4060,9630,2607.500000,0.570546,-99,45,0.046530,331,
4080,9630,2607.500000,0.445474,-99,44,0.030896,24,
4060,9610,2622.500000,0.534257,-99,45,0.035413,175,
4080,9610,2622.500000,0.934645,-99,33,0.058952,156,
4060,9630,2622.500000,0.641463,-99,45,0.043798,240,
4080,9630,2622.500000,0.448987,-99,44,0.032005,59,
4100,9610,2607.500000,0.860821,-99,45,0.065255,429,
4100,9610,2622.500000,0.672834,-99,45,0.051885,148,
4100,9630,2622.500000,0.829276,-99,43,0.102228,169,
3900,9650,2622.500000,0.356786,-99,44,0.026187,78,
3920,9650,2622.500000,0.335078,-99,44,0.020280,27,
3900,9670,2622.500000,0.250268,-99,41,0.016867,70,
3920,9670,2622.500000,0.299559,-99,41,0.013910,48,
3960,9650,2607.500000,0.990533,0,10,0.085530,357,
3960,9670,2607.500000,0.672758,0,10,0.068972,139,
3940,9650,2622.500000,0.772306,-99,45,0.053503,51,
3960,9650,2622.500000,0.730101,-99,45,0.064357,231,
3940,9670,2622.500000,0.475681,-99,45,0.034900,71,
3960,9670,2622.500000,0.755668,-99,45,0.074916,198,
3980,9650,2607.500000,0.732193,-99,45,0.055155,241,
4000,9650,2607.500000,0.605946,-99,45,0.052805,261,
3980,9670,2607.500000,0.701685,-99,45,0.071357,298,
4000,9670,2607.500000,0.603179,-99,45,0.050838,161,
3980,9650,2622.500000,0.640960,-99,45,0.054550,215,
4000,9650,2622.500000,0.502716,-99,45,0.046256,130,
3980,9670,2622.500000,0.813803,-99,45,0.073112,189,
4000,9670,2622.500000,0.633367,-99,45,0.059792,302,
4020,9650,2607.500000,0.803944,-99,45,0.077719,419,
4040,9650,2607.500000,0.751449,-99,45,0.075515,134,
4020,9670,2607.500000,0.701221,-99,45,0.072728,236,
4040,9670,2607.500000,0.711171,-99,43,0.095751,161,
4020,9650,2622.500000,0.461069,-99,45,0.047434,88,
4040,9650,2622.500000,0.715029,-99,45,0.053846,74,
4020,9670,2622.500000,0.624717,-99,45,0.054261,132,
4040,9670,2622.500000,0.740715,-99,45,0.057358,86,
4060,9650,2607.500000,0.513555,-99,45,0.040947,163,
4080,9650,2607.500000,0.385334,-99,44,0.028437,45,
4060,9670,2607.500000,0.485730,-99,45,0.041714,98,
4080,9670,2607.500000,0.389527,-99,44,0.028013,56,
4060,9650,2622.500000,0.536523,-99,45,0.034308,266,
4080,9650,2622.500000,0.388514,-99,44,0.026228,25,
4060,9670,2622.500000,0.527291,-99,45,0.037693,144,
4080,9670,2622.500000,0.389198,-99,32,0.028575,37,
4100,9650,2622.500000,0.519159,-99,43,0.065488,97,
