xcentre,ycentre,zcentre,mot_gc,zmin_gc,zmint,oretype_gc,cut_gc,dens,cus_gc,oretypet
3980,9450,2607.5,0.040677,-99,NULL,45,1.03548,2.6,0.116467,SCHAL
4000,9450,2607.5,0.023724,-99,NULL,45,1.152167,2.6,0.132123,SCHAL
3980,9470,2607.5,0.042767,-99,NULL,45,1.253481,2.6,0.098642,SCHAL
4000,9470,2607.5,0.03456,-99,NULL,45,1.125023,2.6,0.086384,SCHAL
3980,9450,2622.5,0.039853,-99,NULL,42,1.650788,2.6,0.142748,SAARC
4000,9450,2622.5,0.042539,-99,NULL,42,1.562198,2.6,0.161585,SAARC
3980,9470,2622.5,0.045891,-99,NULL,45,1.242286,2.6,0.105344,SCHAL
4000,9470,2622.5,0.051696,-99,NULL,45,1.136911,2.6,0.124292,SCHAL
4020,9450,2607.5,0.029943,-99,NULL,45,1.001793,2.6,0.080773,SCHAL
4040,9450,2607.5,0.03065,8,SSF,45,1.7036,2.6,0.128586,SCHAL
4020,9470,2607.5,0.024884,-99,NULL,33,1.029353,2.6,0.086871,MXAL
4040,9470,2607.5,0.021851,8,SSF,45,1.227375,2.6,0.102454,SCHAL
4020,9450,2622.5,0.023466,8,SSF,45,0.977325,2.6,0.068805,SCHAL
4040,9450,2622.5,0.028148,8,SSF,45,1.122314,2.6,0.108641,SCHAL
4020,9470,2622.5,0.035203,-99,NULL,45,0.724425,2.6,0.077833,SCHAL
4040,9470,2622.5,0.018189,8,SSF,45,1.167258,2.6,0.07927,SCHAL
4060,9450,2607.5,0.009579,8,SSF,45,0.899406,2.6,0.084425,SCHAL
4080,9450,2607.5,0.020834,8,SSF,45,0.819693,2.6,0.065617,SCHAL
4060,9470,2607.5,0.01165,8,SSF,45,1.103755,2.6,0.106219,SCHAL
4080,9470,2607.5,0.016283,100,NULL,45,1.240745,2.6,0.102835,SCHAL
4060,9450,2622.5,0.018956,8,SSF,45,1.2435,2.6,0.121732,SCHAL
4080,9450,2622.5,0.011732,8,SSF,45,0.621152,2.6,0.05341,SCHAL
4060,9470,2622.5,0.021047,8,SSF,45,1.509258,2.6,0.130094,SCHAL
4080,9470,2622.5,0.011103,8,SSF,45,0.793609,2.6,0.065865,SCHAL
4100,9450,2607.5,0.018801,7,SSD,45,0.579637,2.6,0.039933,SCHAL
4120,9450,2607.5,0.006843,7,SSD,45,0.734929,2.6,0.052008,SCHAL
4100,9470,2607.5,0.004686,7,SSD,45,0.64501,2.6,0.05426,SCHAL
4120,9470,2607.5,0.005325,7,SSD,45,0.582219,2.6,0.045377,SCHAL
4100,9450,2622.5,0.007945,100,NULL,45,0.590646,2.6,0.052579,SCHAL
4120,9450,2622.5,0.00822,8,SSF,44,0.445554,2.6,0.049972,SCHBL
4100,9470,2622.5,0.014618,100,NULL,45,0.558986,2.6,0.045652,SCHAL
4120,9470,2622.5,0.020965,7,SSD,45,0.66174,2.6,0.048614,SCHAL
4140,9450,2607.5,0.009538,7,SSD,45,0.558281,2.6,0.045012,SCHAL
4160,9450,2607.5,0.006703,7,SSD,45,0.488921,2.6,0.03322,SCHAL
4140,9470,2607.5,0.006724,7,SSD,44,0.443456,2.6,0.032071,SCHBL
4140,9450,2622.5,0.019002,8,SSF,45,0.495022,2.6,0.03132,SCHAL
4160,9450,2622.5,0.006519,8,SSF,45,0.75069,2.6,0.073713,SCHAL
4140,9470,2622.5,0.018998,7,SSD,44,0.38049,2.6,0.024557,SCHBL
4160,9470,2622.5,0.003883,8,SSF,45,0.517813,2.6,0.045868,SCHAL
3920,9510,2607.5,0.014984,-99,NULL,42,1.163878,2.6,0.065078,SAARC
3900,9490,2622.5,0.039308,-99,NULL,42,1.318408,2.6,0.120634,SAARC
3920,9490,2622.5,0.016161,-99,NULL,45,1.472858,2.6,0.08728,SCHAL
3900,9510,2622.5,0.015181,-99,NULL,42,0.663375,2.6,0.063672,SAARC
3920,9510,2622.5,0.010689,-99,NULL,45,1.234077,2.6,0.085208,SCHAL
3940,9490,2607.5,0.014988,-99,NULL,45,1.781835,2.6,0.082226,SCHAL
3960,9490,2607.5,0.029017,-99,NULL,45,1.371754,2.6,0.074093,SCHAL
3940,9510,2607.5,0.022112,-99,NULL,45,1.645917,2.6,0.089924,SCHAL
3960,9510,2607.5,0.022192,-99,NULL,45,1.633381,2.6,0.127904,SCHAL
3940,9490,2622.5,0.009081,-99,NULL,45,1.45296,2.6,0.105973,SCHAL
3960,9490,2622.5,0.02213,-99,NULL,45,1.477617,2.6,0.110315,SCHAL
3940,9510,2622.5,0.008429,-99,NULL,45,1.434501,2.6,0.089546,SCHAL
3960,9510,2622.5,0.017352,-99,NULL,45,1.454175,2.6,0.11244,SCHAL
3980,9490,2607.5,0.039974,-99,NULL,45,1.205211,2.6,0.07381,SCHAL
4000,9490,2607.5,0.048709,-99,NULL,45,1.807945,2.6,0.108815,SCHAL
3980,9510,2607.5,0.019994,-99,NULL,45,1.143779,2.6,0.085183,SCHAL
4000,9510,2607.5,0.053931,-99,NULL,45,0.990476,2.6,0.063006,SCHAL
3980,9490,2622.5,0.065992,-99,NULL,45,0.950064,2.6,0.072348,SCHAL
4000,9490,2622.5,0.049249,-99,NULL,45,1.317307,2.6,0.099677,SCHAL
3980,9510,2622.5,0.03092,-99,NULL,45,1.303823,2.6,0.11247,SCHAL
4000,9510,2622.5,0.053049,-99,NULL,45,1.325214,2.6,0.092054,SCHAL
4020,9490,2607.5,0.046389,-99,NULL,33,1.033707,2.6,0.108129,MXAL
4040,9490,2607.5,0.023258,-99,NULL,45,0.918762,2.6,0.099508,SCHAL
4020,9510,2607.5,0.059603,-99,NULL,45,1.010892,2.6,0.084851,SCHAL
4040,9510,2607.5,0.03344,-99,NULL,45,1.085045,2.6,0.102502,SCHAL
4020,9490,2622.5,0.033055,-99,NULL,45,0.799629,2.6,0.091901,SCHAL
4040,9490,2622.5,0.018345,-99,NULL,45,1.147157,2.6,0.110141,SCHAL
4020,9510,2622.5,0.045165,-99,NULL,45,0.780686,2.6,0.064028,SCHAL
4040,9510,2622.5,0.023052,-99,NULL,45,1.207987,2.6,0.124641,SCHAL
4060,9490,2607.5,0.010049,8,SSF,43,1.290003,2.6,0.157944,SASOL
4080,9490,2607.5,0.010206,100,NULL,43,1.23804,2.6,0.186753,SASOL
4060,9510,2607.5,0.019838,8,SSF,43,0.925333,2.6,0.144939,SASOL
4080,9510,2607.5,0.006905,8,SSF,43,0.852767,2.6,0.21352,SASOL
4060,9490,2622.5,0.019843,8,SSF,45,1.511744,2.6,0.128437,SCHAL
4080,9490,2622.5,0.011295,8,SSF,45,1.237604,2.6,0.099464,SCHAL
4060,9510,2622.5,0.016215,-99,NULL,43,0.814744,2.6,0.113759,SASOL
4080,9510,2622.5,0.010954,8,SSF,43,0.704357,2.6,0.09609,SASOL
4100,9490,2607.5,0.011543,8,SSF,45,0.831999,2.6,0.073416,SCHAL
4120,9490,2607.5,0.009367,6,,44,0.431424,2.6,0.02846,SCHBL
4100,9510,2607.5,0.00442,2,MIX,33,0.714638,2.6,0.199491,MXAL
4120,9510,2607.5,0.009641,6,,45,0.494272,2.6,0.039101,SCHAL
4100,9490,2622.5,0.088352,8,SSF,43,0.710264,2.6,0.100753,SASOL
4120,9490,2622.5,0.026207,7,SSD,45,0.479346,2.6,0.035429,SCHAL
4100,9510,2622.5,0.040343,2,MIX,33,0.77505,2.6,0.237819,MXAL
4120,9510,2622.5,0.01925,7,SSD,45,0.774394,2.6,0.071016,SCHAL
4140,9490,2607.5,0.006135,6,,45,0.461885,2.6,0.026579,SCHAL
